deprecation_reason,description,forks,homepage,keywords,language,latest_download_url,latest_stable_release_number,latest_stable_release_published_at,license_normalized,licenses,name,normalized_licenses,package_manager_url,platform,rank,repository_url,stars,status
None,Parent project for Blueprints-based extensions of the core component.,12,https://neoemf.atlanmod.org,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-data-blueprints/2.0.1/neoemf-data-blueprints-2.0.1.jar,2.0.1,2020-10-12T10:44:41.000Z,True,Eclipse Public License v2.0,org.atlanmod.neoemf:neoemf-data-blueprints,['EPL-2.0'],https://repo1.maven.org/maven2/org/atlanmod/neoemf/neoemf-data-blueprints,Maven,10,https://github.com/atlanmod/NeoEMF,36,None
None,A Python library to capture the energy consumption of code snippets,2,,"['energy', 'energy-consumption', 'intel-rapl', 'power', 'python', 'rapl']",Python,None,0.5.1,2020-11-16T15:10:25.000Z,True,MIT License,pyJoules,['MIT'],https://pypi.org/project/pyJoules/,Pypi,8,https://github.com/powerapi-ng/pyJoules,4,None
None,"Web GUI for Ludwig, the collaborative testing tool",1,https://github.com/sgmap/ludwig-ui#readme,[],JavaScript,https://registry.npmjs.org/ludwig-ui/-/ludwig-ui-1.5.4.tgz,1.5.4,2017-12-01T09:11:51.173Z,False,AGPL-3.0,ludwig-ui,['AGPL-3.0'],https://www.npmjs.com/package/ludwig-ui,NPM,11,https://github.com/sgmap/ludwig-ui,4,None
None,Colors for data scientists. Generate and refine palettes of optimally distinct colors.,44,https://github.com/medialab/iwanthue#readme,"['colors', 'distances', 'palette']",HTML,https://registry.npmjs.org/iwanthue/-/iwanthue-1.5.0.tgz,1.5.0,2021-04-08T19:56:16.088Z,False,MIT,iwanthue,['MIT'],https://www.npmjs.com/package/iwanthue,NPM,13,https://github.com/medialab/iwanthue,517,None
None,,0,https://github.com/communaute-cimi/rosm,[],Go,None,None,None,False,,github.com/communaute-cimi/rosm,[],https://pkg.go.dev/github.com/communaute-cimi/rosm,Go,4,https://github.com/communaute-cimi/rosm,2,None
None,gridscale,6,https://github.com/openmole/gridscale,"['batch', 'grid-middlewares', 'htc', 'ipfs', 'scala', 'scala-library', 'storage']",Scala,https://repo1.maven.org/maven2/org/openmole/gridscale/gridscale_2.13/2.39/gridscale_2.13-2.39.jar,v1.87.0,2016-08-30T12:29:24.000Z,True,Affero GPLv3,org.openmole.gridscale:gridscale_2.13,['AGPL-1.0'],https://repo1.maven.org/maven2/org/openmole/gridscale/gridscale_2.13,Maven,10,https://github.com/openmole/gridscale,23,None
None,[EN] OpenFisca tax and benefit system for France State endowments to local authorities.         [FR] Modèle de microsimulation OpenFisca dédié aux dotations de l'État aux collectivités territoriales.,0,https://git.leximpact.dev/leximpact/openfisca-france-dotations-locales,"['France', 'microsimulation', 'local', 'tax', 'endowment', 'dotations', 'territoires']",Python,None,0.7.5,2021-10-15T16:24:01.000Z,True,http://www.fsf.org/licensing/licenses/agpl-3.0.html,OpenFisca-France-Dotations-Locales,['Other'],https://pypi.org/project/OpenFisca-France-Dotations-Locales/,Pypi,8,,1,None
None,demo,5,https://github.com/mathieuleclaire/scaladget,[],CSS,https://repo1.maven.org/maven2/fr/iscpif/scaladget/demo_sjs0.6_2.12/1.2.4/demo_sjs0.6_2.12-1.2.4.jar,1.2.4,2019-02-22T00:00:00.000Z,True,Affero GPLv3,fr.iscpif.scaladget:demo_sjs0.6_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/fr/iscpif/scaladget/demo_sjs0.6_2.12,Maven,10,https://github.com/mathieuleclaire/scaladget,42,None
None,ace,5,https://github.com/openmole/scala-js-plotlyjs,[],CSS,https://repo1.maven.org/maven2/org/openmole/scaladget/ace_sjs1_2.12/1.3.7/ace_sjs1_2.12-1.3.7.jar,1.3.7,2020-06-17T00:00:00.000Z,True,Affero GPLv3,org.openmole.scaladget:ace_sjs1_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/org/openmole/scaladget/ace_sjs1_2.12,Maven,10,https://github.com/openmole/scaladget,42,None
None,tools,5,https://github.com/openmole/scala-js-plotlyjs,[],CSS,https://repo1.maven.org/maven2/org/openmole/scaladget/tools_sjs1_2.12/1.3.7/tools_sjs1_2.12-1.3.7.jar,1.3.7,2020-06-17T00:00:00.000Z,True,Affero GPLv3,org.openmole.scaladget:tools_sjs1_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/org/openmole/scaladget/tools_sjs1_2.12,Maven,10,https://github.com/openmole/scaladget,42,None
