nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
impact-tests,betagouv,GitHub,https://github.com/betagouv/impact-tests,Module ludwig pour projet Impact,False,2015-02-04T16:12:08Z,2017-12-12T10:47:47Z,,0,0,,0,JavaScript,
cout-embauche,betagouv,GitHub,https://github.com/betagouv/cout-embauche,Estimateur de prix d'embauche - Simulate the price of hiring in France,False,2015-02-06T14:13:43Z,2019-03-26T20:29:53Z,,45,8,,43,JavaScript,"economy,france,simulation,social-security,taxes"
openfisca-parsers,betagouv,GitHub,https://github.com/betagouv/openfisca-parsers,"Lexers, parsers, compilers, etc for OpenFisca source code",True,2015-02-25T16:16:38Z,2015-04-21T08:46:28Z,,0,0,GNU Affero General Public License v3.0,0,Python,
openfisca-ops,betagouv,GitHub,https://github.com/betagouv/openfisca-ops,[DEPRECATED] Easily deploy a production-ready OpenFisca instance.,False,2015-03-02T18:30:13Z,2018-09-01T22:23:18Z,https://doc.openfisca.fr/en/for_developers.html,4,1,,0,Shell,
meteor-assemblee-nationale,betagouv,GitHub,https://github.com/betagouv/meteor-assemblee-nationale,Accéder à des données d'amendements de l'Assemblée Nationale depuis Meteor.,False,2015-03-05T09:11:39Z,2018-11-19T17:01:07Z,,9,1,,1,JavaScript,
paie-tests,betagouv,GitHub,https://github.com/betagouv/paie-tests,Ludwig-based testing instance for the Paie API.,False,2015-03-13T17:29:24Z,2016-02-09T15:08:13Z,,0,0,,1,JavaScript,
open-academie-old,betagouv,GitHub,https://github.com/betagouv/open-academie-old,Des outils et des méthodes au service de la modernisation de l'action publique dans l'Education nationale,False,2015-04-03T13:36:46Z,2018-12-01T14:32:34Z,http://sgmap.github.io/open-academie-old/,5,0,,4,CSS,
paie-carto,betagouv,GitHub,https://github.com/betagouv/paie-carto,Un explorateur interactif de l'impact de la localisation d'une entreprise sur le coût à l'embauche d'un salarié.,False,2015-05-04T18:57:29Z,2015-08-06T08:09:53Z,http://apicarto-dev.sgmap.fr/paie-carto/,0,0,,3,JavaScript,
OpenFiscaFrance.jl,betagouv,GitHub,https://github.com/betagouv/OpenFiscaFrance.jl,A port of OpenFisca-France to Julia. This is the OpenFisca package containing the formulas and parameters of the french tax-benefit system.,True,2015-05-21T15:59:58Z,2016-02-25T17:32:25Z,,1,0,Other,0,Julia,
bourses,betagouv,GitHub,https://github.com/betagouv/bourses,Simplification de la demande de bourse,False,2015-06-03T15:24:31Z,2018-10-18T19:44:24Z,https://bourse.beta.gouv.fr,6,3,,0,JavaScript,
openfisca-mes-aides-reform,betagouv,GitHub,https://github.com/betagouv/openfisca-mes-aides-reform,,False,2015-06-08T14:17:24Z,2015-06-08T14:23:18Z,,0,0,GNU Affero General Public License v3.0,0,Python,
Element.details,betagouv,GitHub,https://github.com/betagouv/Element.details,A pure JS polyfill for <details> tag with DOM API for all browsers including IE6+,True,2015-07-22T09:17:26Z,2015-10-12T10:07:07Z,,1,3,,0,JavaScript,
sejour,betagouv,GitHub,https://github.com/betagouv/sejour,,True,2015-09-27T15:01:04Z,2015-09-27T15:01:07Z,,0,0,,0,Java,
demarches-simplifiees.fr,betagouv,GitHub,https://github.com/betagouv/demarches-simplifiees.fr,Dématérialiser et simplifier les démarches administratives ,False,2015-10-13T10:01:34Z,2019-04-23T12:49:00Z,https://www.demarches-simplifiees.fr,36,24,GNU Affero General Public License v3.0,815,Ruby,
api-particulier,betagouv,GitHub,https://github.com/betagouv/api-particulier,"Simplifiez les démarches de vos usagers, ne demandez plus de justificatifs",False,2015-10-23T09:14:04Z,2019-04-11T18:30:42Z,https://particulier.api.gouv.fr/,8,5,,4,JavaScript,
quotient-familial,betagouv,GitHub,https://github.com/betagouv/quotient-familial,,False,2015-11-12T13:13:19Z,2018-01-23T09:44:36Z,,0,0,,0,JavaScript,
